WATERBODY,STATE,TYPE,LATITUDE,LONGITUDE,ALTITUDE(km),LAKE_AREA(km2),LAKE_DEPTH(m),SAMPLED_DAYS(#),CHLOROPHYLL(ug/L),TN(mg/L),TP(mg/L),TEMPERATURE(oC),SECCHI_DEPTH(m),Species_Richness(#)
LAKE CHARLESTON,Illinois,Reservoir,39.4638885,-88.1409725,0.179,1.45,0.899999999,3,12,6.294444444,0.155222222,18.06666667,0.237067141,27
COFFEEN LAKE,Illinois,Reservoir,39.05740767,-89.40277767,0.189,4.86,5.6,3,7.7,0.890731707,0.044585366,25.12962963,1.111957779,23
CRAB ORCHARD LAKE,Illinois,Reservoir,37.71527767,-89.090278,0.122,28.19,3.000000002,3,59.86666667,1.386521739,0.125086957,22.36190476,0.451556459,35
LAKE DECATUR,Illinois,Reservoir,39.84194467,-88.91398167,0.2003,11.35,1.400000001,3,43,4.938571429,0.12552381,20.0047619,0.518886752,38
LONG LAKE,Illinois,Lake,42.3763885,-88.1277775,0.223,1.03,1.600000001,3,49.33333333,2.53,0.580294118,19.2,0.440267547,31
LAKE LOU YAEGER,Illinois,Reservoir,39.2230555,-89.5986805,0.1985,5.72,3.300000001,3,10.6625,2.309705882,0.214264706,20.77,0.264583863,14
LAKE MARIE,Illinois,Lake,42.4702775,-88.1327775,0.223,1.84,1.400000001,3,39.53333333,1.8,0.14753332,19.37857143,0.821268309,36
PISTAKEE LAKE,Illinois,Lake,42.384583,-88.1940275,0.223,6.27,3.199999998,3,75.86666667,2.055555556,0.203,18.25555556,0.364067395,61
REND LAKE,Illinois,Reservoir,38.10118075,-88.9618055,0.123,76.49,4.700000001,3,23.53333333,1.199090909,0.070151509,21.50625,0.723901448,52
LAKE SHELBYVILLE,Illinois,Reservoir,39.49143517,-88.7175925,0.1893,44.52,4.999999996,3,17.16111111,4.618051948,0.0751948,21.01632653,0.982135298,39
SILVER LAKE (HIGHLAND),Illinois,Reservoir,38.788426,-89.69074067,0.1543,2.99,4.199999996,3,5.822222222,1.967391304,0.225043474,20.6826087,0.266700533,27
LAKE SPRINGFIELD,Illinois,Reservoir,39.715,-89.620611,0.178,17.13,3.999999997,3,13.01333333,4.1755,0.123399985,21.2972973,0.422031613,29
VERMILION LAKE,Illinois,Reservoir,40.1658335,-87.6466665,0.175,2.83,1.400000001,3,31.15,5.826666667,0.11166665,19.46666667,0.46990094,31
WONDER LAKE,Illinois,Reservoir,42.387222,-88.35125,0.244,2.95,2.500000002,3,98.53333333,2.875833333,0.42975,18.58333333,0.355600711,53
LAKE STORY,Illinois,Reservoir,40.988889,-90.3993055,0.2365,0.53,4.600000003,3,17.25,3.648947368,0.093105258,20.225,1.032935399,27
DEPUE LAKE,Illinois,Lake,41.310556,-89.319167,0.136,2.12,1.2,2,58.83333333,4.92,0.5424,19.68,0.254000508,47
LAKE SANGCHRIS,Illinois,Reservoir,39.62013875,-89.4694445,0.1795,10.93,3.999999997,3,19.29166667,2.857073171,0.068804878,22.89705882,0.624417916,43
LAKE HOLIDAY,Illinois,Reservoir,41.617083,-88.6680555,0.193,1.21,2.699999999,3,51.21666667,5.851666667,0.179916667,20.425,0.37676742,48
FOX LAKE,Illinois,Lake,42.4108335,-88.1545835,0.223,6.76,2.400000002,3,63.85,2.1825,0.2255,18.84,0.351367369,48
GRASS LAKE,Illinois,Lake,42.441111,-88.160139,0.223,5.5,1.1,3,83.5,2.496666667,0.280333333,19.11111111,0.482600965,58
EAST LOON LAKE,Illinois,Lake,42.455,-88.073611,0.234,0.67,1.8,2,22.3,1.627,0.1022,19.06363636,1.27000254,38
SLOCUM LAKE,Illinois,Lake,42.259444,-88.188889,0.223,0.87,1.2,2,221.1,4.628,0.8194,19.2,0.321733977,21
CEDAR LAKE,Illinois,Lake,42.421389,-88.089444,0.237,1.15,1.2,2,5.766666667,1.286153846,0.035461538,20.24444444,2.531538396,25
LAKE WEMATUK,Illinois,Reservoir,40.533889,-90.161389,0.183,2.38,1.8,2,7.966666667,2.7505,0.0708,21.395,0.855135044,22
