"pagenum","state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"049","FLORIDA","LAHNE LAKE","ORANGE  0","1249","NATURAL",NA,"10.7",NA,"1.1","0.22","32",NA,NA,"225","0.2","2.56","0.117","410",NA,NA,"5","9045",NA,NA,"1805",NA,"85","2830","70","15.02","16220","54","55.9"
"050","FLORIDA","LAKE LULU","POLK","1227","NATURAL","20.1","1.22","1.5","0.09","235","74","342","0.4","1.49","1.03","1.065","5.71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA
"051","FLORIDA","LAKE MARION","POLK",NA,"NATURAL","92.5","12.82","1.3","0.82","235","34","131","0.8","0.044","0.016","0.26","2.22",NA,NA,"20","1840","1860",NA,NA,"790","62750","63540","1065","43","0.15","54375","14","5"
"052","FLORIDA","LAKE MINNEHAHA","ORANGE","1229","NATURAL","4.3","0.39","3","0.14","97","42","1800","106","0.038","12","0.08","9590",NA,NA,"15","230","245",NA,NA,"545",NA,NA,"185","24","0.63","3855","4","10.3"
"053","FLORIDA","LAKE MINNEOLA IOLIGO","ﬁLAKE","1230","NATURAL","409.2","7.84","2.7",NA,NA,"10",NA,"2.4",NA,NA,"0.009","0.07",NA,NA,NA,NA,"51440",NA,NA,NA,NA,NA,"125420",NA,"6.9",NA,NA,NA
"054","FLORIDA","LAKE MONROE","SEMINDLE VOLUSIA","1231","NATURAL","6682.2","35.5","1.8",NA,"10","41","1000","0.6","0.188","0.128","0.3","1.91","30980",NA,"10","494085","525075","83535",NA,"360","5639895","5723790","543740",NA,"14.79","5760010",NA,"161.2"
"055","FLORIDA","LAKE MUNSON",NA,"1247","NATURAL","167.1","1.03","1.5","1.75","11","46","265","0.3","1.475","0.852","0.925","4.01","48015",NA,NA,"30485","78500","131515",NA,NA,"82140","213655","104735",NA,"76.21","296815",NA,"207.4"
"056","FLORIDA","LAKE OKEECHOBEE","GLADESQHENDRYQHARTINAOKEECHOBEEQPALM BEACHoST LUCIE","1232","NATURAL","13007","1890.71","2.8","53.21","3.4","132","640","0.7","0.063","0.01","0.185","1.745","12325",NA,NA,"338190","350515",NA,"34380",NA,NA,"7454915","191960","45","0.19","6953360","7","4"
"057","FLORIDA",NA,"BREVARD ORANGE OSCEOLA","123A","NATURAL","3447.3","17.6","1.5","33.05","9","36","490","0.8","0.035","0.051","0.15","1.675",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"058","FLORIDA","REEDY LAKE","POLK","1236","NATURAL","157.7","14.11","3.3","1","1.5","50","219","0.8","0.033","0.008","0.33","1.965","360","40","20","8820","9240","880","1400","620","1063400","1066300","1010","89","0.65","45680","96","75.6"
"059","FLORIDA","LAKE SEMINOLE","PINELLAS","1248","NATURAL","36.3","1.85","2.7","0.45","128","114","480","0.7","0.234","0.026","0.175","2.555",NA,NA,NA,"3310","3310",NA,NA,NA,"21810","21810","2830","15","1.79",NA,NA,"11.8"
"060","FLORIDA","SOUTH LAKE","BREVARD","1230","NATURAL",NA,"4.46","0.9",NA,NA,NA,NA,NA,"0.9","0.074","0.023","0.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"99000",NA,NA,NA,"0"
"061","FLORIDA","NAME I","GADSOEN LEON","1239",NA,"-4335.5","43.7","2.8",NA,NA,NA,"57",NA,"1",NA,"0.085",NA,"53105",NA,"135","209200","262440","158710",NA,"5010","2041295","2205015","139420","47","6.01","1735985","21","50.5"
